location,TotalPopulation,TotalCasesCount,TotalInfectionPercentage,TotalDeathCount,TotalDeathPercentage,StringencyIndexMax,FullyVaccinatedPopulaton,median_age,gdp_per_capita,human_development_index,extreme_poverty,DeathLikelyhood
Dominican Republic,10847904,337738,3.113,3916,36,100,3780347,"27,6","14600,861","0,76","1,6",1.159
Ecuador,17643060,476312,2.700,21958,124,"93,52",1896486,"28,1","10581,936","0,76","3,6",4.610
Egypt,102334403,283762,277,16452,16,"87,96",1428958,"25,3","10550,206","0,71","1,3",5.798
El Salvador,6486201,82852,1.277,2499,39,100,1338206,"27,6","7292,458","0,67","2,2",3.016
Equatorial Guinea,1402985,8828,629,123,9,NULL,117979,"22,4","22604,873","0,59",NULL,1.393
Eritrea,3546427,6442,182,32,1,"92,59",NULL,"19,3","1510,459","0,46",NULL,497
Estonia,1326539,131882,9.942,1271,96,"77,78",463956,"42,7","29481,252","0,89","0,5",964
Eswatini,1160164,21243,1.831,719,62,"84,26",25256,"21,5","7738,975","0,61",NULL,3.385
Ethiopia,114963583,277780,242,4357,4,"80,56",NULL,"19,8","1729,927","0,49","26,7",1.569
Fiji,896444,18298,2.041,113,13,"67,59",66643,"28,6","8702,975","0,74","1,4",618
Finland,5540718,100312,1.810,979,18,"71,3",1550881,"42,8","40585,721","0,94",NULL,976
France,67564251,5978650,8.849,111682,165,"87,96",28473629,42,"38605,671","0,90",NULL,1.868
Gabon,2225728,25283,1.136,163,7,"84,26",32261,"23,1","16562,413","0,70","3,4",645
Gambia,2416664,6920,286,190,8,"83,33",12303,"17,5","1561,767","0,50","10,1",2.746
Georgia,3989175,388329,9.735,5566,140,100,113895,"38,7","9745,079","0,81","4,2",1.433
Germany,83783945,3753220,4.480,91404,109,"85,19",38843476,"46,6","45229,245","0,95",NULL,2.435
Ghana,31072945,98817,318,812,3,"86,11",405971,"21,1","4227,63","0,61",12,822
Greece,10423056,459146,4.405,12834,123,"88,89",4644901,"45,3","24574,382","0,89","1,5",2.795
Grenada,112519,161,143,1,1,NULL,15130,"29,4","13593,877","0,78",NULL,621
Guatemala,17915567,334375,1.866,9927,55,"96,3",258703,"22,9","7423,808","0,66","8,7",2.969
Guinea,13132792,24711,188,190,1,"80,56",282044,19,"1998,926","0,48","35,3",769
Guinea-Bissau,1967998,4052,206,73,4,NULL,1225,"19,4","1548,675","0,48","67,1",1.802
Guyana,786559,21562,2.741,512,65,"87,04",128252,"26,3","7435,047","0,68",NULL,2.375
Haiti,11402533,19547,171,508,4,"93,52",NULL,"24,3","1653,173","0,51","23,5",2.599
Honduras,9904608,277974,2.807,7391,75,100,79737,"24,9","4541,795","0,63",16,2.659
Hong Kong,7496988,11958,160,212,3,"71,3",2038442,"44,8","56054,92","0,95",NULL,1.773
Hungary,9660350,808864,8.373,30017,311,"79,63",5311557,"43,4","26777,561","0,85","0,5",3.711
Iceland,341250,6718,1.969,30,9,"65,74",252152,"37,3","46482,958","0,95","0,2",447
India,1380004385,31174322,2.259,414482,30,100,85453618,"28,2","6426,674","0,65","21,2",1.330
Indonesia,273523621,2911733,1.065,74920,27,"80,09",16400351,"29,3","11188,744","0,72","5,7",2.573
Iran,83992953,3548704,4.225,87374,104,"81,48",2289095,"32,4","19082,62","0,78","0,2",2.462
Iraq,40222503,1501595,3.733,17892,44,"96,3",388541,20,"15663,986","0,67","2,5",1.192
Ireland,4937796,285581,5.784,5018,102,"90,74",2277860,"38,7","67335,293","0,96","0,2",1.757
Israel,8655541,852943,9.854,6450,75,"94,44",5246048,"30,6","33132,32","0,92","0,5",756
Italy,60461828,4289528,7.095,127874,211,"93,52",26787712,"47,9","35220,084","0,89",2,2.981
Jamaica,2961161,51135,1.727,1155,39,"87,04",118304,"31,4","8193,571","0,73",NULL,2.259
Japan,126476458,844386,668,15006,12,"55,09",28397611,"48,2","39002,223","0,92",NULL,1.777
Jordan,10203140,761225,7.461,9896,97,100,1932938,"23,2","8337,49","0,73","0,1",1.300
Kazakhstan,18776707,547510,2.916,3612,19,"92,13",2798360,"30,6","24055,588","0,83","0,1",660
Kenya,53771300,193189,359,3783,7,"88,89",582391,20,"2993,028","0,60","36,8",1.958
Kosovo,1932774,107906,5.583,2268,117,"92,59",60759,NULL,"9795,834",NULL,"0,6",2.102
Kuwait,4270563,386869,9.059,2238,52,100,923307,"33,7","65530,537","0,81",NULL,578
Kyrgyzstan,6524191,150316,2.304,2186,34,"92,13",73800,"26,3","3393,474","0,70","1,4",1.454
Laos,7275556,3540,49,5,0,"85,19",670727,"24,4","6397,36","0,61","22,7",141
Latvia,1886202,138184,7.326,2544,135,"69,44",642317,"43,9","25063,846","0,87","0,7",1.841
Lebanon,6825442,551157,8.075,7886,116,"92,59",666808,"31,1","13367,565","0,74",NULL,1.431
Lesotho,2142252,12398,579,339,16,"85,19",19685,"22,2","2851,153","0,53","59,6",2.734
Liberia,5057677,5396,107,148,3,"87,96",9135,"19,2","752,788","0,48","38,6",2.743
Libya,6871287,224920,3.273,3299,48,100,NULL,29,"17881,509","0,72",NULL,1.467
Liechtenstein,38137,3069,8.047,59,155,"56,48",18244,NULL,NULL,"0,92",NULL,1.922
Lithuania,2722291,279813,10.279,4404,162,"87,04",1182259,"43,5","29524,265","0,88","0,7",1.574
Luxembourg,625976,72985,11.659,821,131,"79,63",272864,"39,7","94277,965","0,92","0,2",1.125
Madagascar,27691019,42538,154,937,3,"81,48",NULL,"19,6","1416,44","0,53","77,6",2.203
Malawi,19129955,43817,229,1352,7,"64,81",43165,"18,1","1095,042","0,48","71,4",3.086
Malaysia,32365998,927533,2.866,7148,22,"80,56",4674380,"29,9","26808,164","0,81","0,1",771
Maldives,540542,76019,14.063,216,40,NULL,258525,"30,6","15183,616","0,74",NULL,284
Mali,20250834,14513,72,530,3,75,51846,"16,4","2014,306","0,43",NULL,3.652
Malta,441539,32616,7.387,420,95,"87,04",359042,"42,4","36513,323","0,90","0,2",1.288
Mauritania,4649660,22753,489,511,11,"77,78",14119,"20,3","3597,633","0,55",6,2.246
Mauritius,1271767,2535,199,19,1,"97,22",432800,"37,4","20292,745","0,80","0,5",750
Mexico,128932753,2664444,2.067,236469,183,"82,41",21700199,"29,3","17336,469","0,78","2,5",8.875
Moldova,4033963,258007,6.396,6227,154,"87,04",388867,"37,6","5189,972","0,75","0,2",2.414
Monaco,39244,2693,6.862,33,84,"87,96",18646,NULL,NULL,NULL,NULL,1.225
Mongolia,3278292,148424,4.527,740,23,"96,3",1841840,"28,6","11840,846","0,74","0,5",499
Montenegro,628062,100690,16.032,1623,258,NULL,146029,"39,1","16409,288","0,83",1,1.612
Morocco,36910558,558785,1.514,9466,26,"93,52",9736641,"29,6","7485,013","0,69",1,1.694
Mozambique,31255435,100785,322,1138,4,"80,56",299251,"17,7","1136,103","0,46","62,9",1.129
Myanmar,54409794,234710,431,5281,10,"86,11",1527284,"29,1","5591,597","0,58","6,4",2.250
Namibia,2540916,112824,4.440,2532,100,"78,7",34288,22,"9541,808","0,65","13,4",2.244
Nepal,29136808,668751,2.295,9582,33,"97,22",1129908,25,"2442,804","0,60",15,1.433
Netherlands,17134873,1835841,10.714,18063,105,"82,41",7419262,"43,2","48472,545","0,94",NULL,984
New Zealand,4822233,2823,59,26,1,"96,3",564789,"37,9","36085,843","0,93",NULL,921
Nicaragua,6624554,8767,132,193,3,"24,07",162874,"27,3","5321,444","0,66","3,2",2.201
Niger,24206636,5590,23,194,1,"61,11",60317,"15,1",926,"0,39","44,5",3.470
Nigeria,206139587,169678,82,2128,1,"85,65",1404740,"18,1","5338,454","0,54",NULL,1.254
North Macedonia,2083380,155931,7.485,5487,263,NULL,284680,"39,1","13111,214","0,77",5,3.519
Norway,5421242,134534,2.482,796,15,"79,63",1678970,"39,7","64800,057","0,96","0,2",592
Oman,5106622,289042,5.660,3498,68,100,291645,"30,7","37960,709","0,81",NULL,1.210
Pakistan,220892331,993872,450,22848,10,"96,3",4550696,"23,5","5034,708","0,56",4,2.299
Palestine,5101416,315761,6.190,3589,70,"96,3",400561,"20,4","4449,898","0,71",1,1.137
